Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Monthly),SOUTH PERIMETER:Zone People Occupant Count [](Monthly),EAST PERIMETER:Zone People Occupant Count [](Monthly),NORTH PERIMETER:Zone People Occupant Count [](Monthly),WEST PERIMETER:Zone People Occupant Count [](Monthly),CORE:Zone People Occupant Count [](Monthly),SOUTH PERIMETER:Zone Lights Total Heating Energy [J](Monthly),EAST PERIMETER:Zone Lights Total Heating Energy [J](Monthly),NORTH PERIMETER:Zone Lights Total Heating Energy [J](Monthly),WEST PERIMETER:Zone Lights Total Heating Energy [J](Monthly),CORE:Zone Lights Total Heating Energy [J](Monthly),SOUTH PERIMETER:Zone Electric Equipment Total Heating Energy [J](Monthly),EAST PERIMETER:Zone Electric Equipment Total Heating Energy [J](Monthly),NORTH PERIMETER:Zone Electric Equipment Total Heating Energy [J](Monthly),WEST PERIMETER:Zone Electric Equipment Total Heating Energy [J](Monthly),CORE:Zone Electric Equipment Total Heating Energy [J](Monthly),SOUTH PERIMETER:Zone Infiltration Sensible Heat Loss Energy [J](Monthly),SOUTH PERIMETER:Zone Infiltration Sensible Heat Gain Energy [J](Monthly),SOUTH PERIMETER:Zone Infiltration Air Change Rate [ach](Monthly),EAST PERIMETER:Zone Infiltration Sensible Heat Loss Energy [J](Monthly),EAST PERIMETER:Zone Infiltration Sensible Heat Gain Energy [J](Monthly),EAST PERIMETER:Zone Infiltration Air Change Rate [ach](Monthly),NORTH PERIMETER:Zone Infiltration Sensible Heat Loss Energy [J](Monthly),NORTH PERIMETER:Zone Infiltration Sensible Heat Gain Energy [J](Monthly),NORTH PERIMETER:Zone Infiltration Air Change Rate [ach](Monthly),WEST PERIMETER:Zone Infiltration Sensible Heat Loss Energy [J](Monthly),WEST PERIMETER:Zone Infiltration Sensible Heat Gain Energy [J](Monthly),WEST PERIMETER:Zone Infiltration Air Change Rate [ach](Monthly),CORE:Zone Infiltration Sensible Heat Loss Energy [J](Monthly),CORE:Zone Infiltration Sensible Heat Gain Energy [J](Monthly),CORE:Zone Infiltration Air Change Rate [ach](Monthly),PLENUM:Zone Air System Sensible Heating Rate [W](Monthly),PLENUM:Zone Air System Sensible Cooling Rate [W](Monthly),PLENUM:Zone Air Temperature [C](Monthly:OFFICE OCCUPANCY 2),PLENUM:Zone Air Temperature [C](Monthly),SOUTH PERIMETER:Zone Air System Sensible Heating Rate [W](Monthly),SOUTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Monthly),SOUTH PERIMETER:Zone Air Temperature [C](Monthly:OFFICE OCCUPANCY 2),SOUTH PERIMETER:Zone Air Temperature [C](Monthly),EAST PERIMETER:Zone Air System Sensible Heating Rate [W](Monthly),EAST PERIMETER:Zone Air System Sensible Cooling Rate [W](Monthly),EAST PERIMETER:Zone Air Temperature [C](Monthly:OFFICE OCCUPANCY 2),EAST PERIMETER:Zone Air Temperature [C](Monthly),NORTH PERIMETER:Zone Air System Sensible Heating Rate [W](Monthly),NORTH PERIMETER:Zone Air System Sensible Cooling Rate [W](Monthly),NORTH PERIMETER:Zone Air Temperature [C](Monthly:OFFICE OCCUPANCY 2),NORTH PERIMETER:Zone Air Temperature [C](Monthly),WEST PERIMETER:Zone Air System Sensible Heating Rate [W](Monthly),WEST PERIMETER:Zone Air System Sensible Cooling Rate [W](Monthly),WEST PERIMETER:Zone Air Temperature [C](Monthly:OFFICE OCCUPANCY 2),WEST PERIMETER:Zone Air Temperature [C](Monthly),CORE:Zone Air System Sensible Heating Rate [W](Monthly),CORE:Zone Air System Sensible Cooling Rate [W](Monthly),CORE:Zone Air Temperature [C](Monthly:OFFICE OCCUPANCY 2),CORE:Zone Air Temperature [C](Monthly),SOUTH PERIMETER VAV REHEAT:Zone Air Terminal VAV Damper Position [](Monthly),EAST PERIMETER VAV REHEAT:Zone Air Terminal VAV Damper Position [](Monthly),WEST PERIMETER VAV REHEAT:Zone Air Terminal VAV Damper Position [](Monthly),CORE VAV REHEAT:Zone Air Terminal VAV Damper Position [](Monthly),NORTH ZONE UNITARY HEATING COIL:Heating Coil Runtime Fraction [](Monthly),NORTH ZONE UNITARY COOLING COIL:Cooling Coil Runtime Fraction [](Monthly),NORTH ZONE UNITARY FURNACE WITH DX COOLING:Unitary System Fan Part Load Ratio [](Monthly),BOILER 1:Boiler Heating Rate [W](Monthly),CHILLER 1:Chiller Evaporator Cooling Rate [W](Monthly),CHILLER 1:Chiller COP [W/W](Monthly),TOWER 1:Cooling Tower Heat Transfer Rate [W](Monthly) 
January,-4.644438844086011,3.0368279569892437,1.3803763440860216,3.0368279569892437,1.3803763440860216,5.521505376344086,1415335680.0,611167680.0,1415335680.0,611167680.0,2648393280.0,943557120.0,407445120.0,943557120.0,407445120.0,1765595520.0,730792964.4221599,0.0,0.1400990313377818,307417926.19517126,0.0,0.13879129493359924,715179069.765935,0.0,0.13966785781760483,306475182.29006859,0.0,0.138742361508317,1316258265.2685228,0.0,0.13287604796201489,943.440899845541,0.0,19.125129323363308,17.14233613642023,261.7666117710586,258.09839311347977,21.868488789448148,20.239966838583844,123.1964515943473,124.9349372574199,21.289100579641173,19.809780518330727,329.8195118910619,268.9205054661982,21.137544017342049,19.733500659829148,116.55586494176106,142.95705993210056,21.133252092531234,19.73759081139089,180.71650358256398,303.1574734165093,22.10364008623844,20.727957537544275,0.1589191643225181,0.15074332453582085,0.15557375056763268,0.1517379113937539,0.1856538878690384,0.0,0.5376344086021505,1782.841120321903,2.3047820436353447,0.012910364461562506,53.545079589279179 
February,-2.5235863095238115,3.067559523809525,1.3943452380952382,3.067559523809525,1.3943452380952382,5.5773809523809529,1288742400.0,556502400.0,1288742400.0,556502400.0,2411510400.0,859161600.0,371001600.0,859161600.0,371001600.0,1607673600.0,599050298.7523539,0.0,0.14400844954419987,252783581.12973006,0.0,0.14272019355307606,584573621.1350612,0.0,0.1435720290957285,251867284.80633015,0.0,0.1426641824831272,1081179275.944995,0.0,0.13658211358778389,865.6128795718091,0.13187925521444827,19.709414250302105,17.86956991216531,232.68840980478184,268.4555122586635,22.082639518560126,20.435962742285068,101.89682868323829,146.39733683347013,21.561926639958629,20.11939688919366,266.6232452842581,301.72065619150296,21.20473051309051,19.95746236506409,100.4722086222492,168.24468997159708,21.422530566343665,20.045569399653503,155.9022946287792,314.09369580078137,22.20229010643943,20.901784023705074,0.1521847704232784,0.14190401325171468,0.1484896255589105,0.1447359941282958,0.16329865461240015,0.00006816608283907487,0.5476190476190477,1470.2311564138436,25.651468502716847,0.07813844395545686,325.52799031724126 
March,3.8243279569892429,3.169892473118273,1.4408602150537636,3.169892473118273,1.4408602150537636,5.763440860215054,1468368000.0,634068000.0,1468368000.0,634068000.0,2747628000.0,978912000.0,422712000.0,978912000.0,422712000.0,1831752000.0,541859423.8747225,0.0,0.15298114211637313,231877104.48511897,0.0,0.1517696921320358,526909889.5835206,0.0,0.15259937838305508,229963033.3082967,0.0,0.15167594288899995,981991149.1647178,0.0,0.14507366427478519,607.0606083740572,1.9608942045257266,21.039492274257378,19.421123025653665,165.19073215555887,263.2110175691949,22.221843054873188,20.861095881388537,64.63284561963089,184.79720096521425,22.104505805600377,20.83436027806318,167.9435016138961,415.5372647419089,21.47146992605779,20.44289247943426,74.39659779728922,212.30975021544092,21.8199461027326,20.69438184821636,119.27173487742545,369.84714986459337,22.493109095774267,21.273867550564419,0.1267829792099689,0.12237246842721354,0.12514355972052883,0.12987834699593293,0.08884763283994134,0.0030155897833557085,0.5591397849462365,889.9585532628897,74.89811571142274,0.11188982533354174,466.1376415242952 
April,9.94625000000001,2.891319444444445,1.3142361111111112,2.891319444444445,1.3142361111111112,5.256944444444445,1311552000.0,566352000.0,1311552000.0,566352000.0,2454192000.0,874368000.0,377568000.0,874368000.0,377568000.0,1636128000.0,286169831.2938927,12758655.314015983,0.13147676339851389,123392870.50910574,5219573.062671907,0.1304828943128475,281332052.8729467,11768412.598368928,0.1313600129444833,122053830.90635155,5184635.731171936,0.130414703226923,521101841.7614387,25797203.45453364,0.12461141437144971,389.70711040989979,54.754885900624,22.384860854668536,20.892527686712108,94.49656748891325,323.5379507596174,22.411474495409665,21.25365092033058,27.88630782677217,238.94194639629334,22.40156200217113,21.3581538598834,90.74274450996279,404.95493895659168,22.134535365951878,21.142860648564829,40.789307835067329,267.229514435874,22.168513629101246,21.273835793088943,72.60508531913816,448.769227511488,22.61359966803175,21.533778171883154,0.1294789856936501,0.12322354913297812,0.12296463431453321,0.13317962546074897,0.04877836347575988,0.03490301795445746,0.5277777777777778,548.0084585453589,966.2892893556744,0.5422840303720012,2442.6919865091915 
May,15.30540994623656,3.1698924731182736,1.4408602150537636,3.1698924731182736,1.4408602150537636,5.763440860215054,1468368000.0,634068000.0,1468368000.0,634068000.0,2747628000.0,978912000.0,422712000.0,978912000.0,422712000.0,1831752000.0,135344795.2636772,7480624.31026261,0.100324945910018,59753517.47929915,3064369.142239648,0.09961841608850096,138699249.62767888,7281549.618071359,0.10037809457658022,58635431.57254328,3184569.8642435928,0.0995640030642012,245635621.0161409,14888652.374591394,0.09504072771784754,195.3658853687882,189.66726208652805,24.649198021999369,23.143181749032946,13.293664243010147,618.8940016619441,23.09013740909508,22.282800569681635,3.7071536635330255,420.9451118928445,23.098093909533764,22.51865580503725,17.2576613543382,633.6370576619171,23.253994197439558,22.433412690262153,5.68658001108828,454.2510215224883,22.937685888619549,22.337582849609256,15.144210482454405,833.9555781732387,23.167942373848328,22.468058338672266,0.18099768180880353,0.1619599082072405,0.15140337654065887,0.19253522567627549,0.003240946596133375,0.10030674123958639,0.5591397849462365,74.19989038896965,2347.9320395587189,1.3553780337883069,6097.460445065494 
June,21.10947916666667,3.1380555555555507,1.426388888888889,3.1380555555555507,1.426388888888889,5.705555555555556,1408492800.0,608212800.0,1408492800.0,608212800.0,2635588800.0,938995200.0,405475200.0,938995200.0,405475200.0,1757059200.0,79476662.22999844,35450308.19242784,0.12864088347031006,35827816.34964535,15275787.816127237,0.1277025216893032,84394563.72373745,35212684.44934707,0.12877414021614506,34643112.40594378,15836921.77129096,0.1276265673356657,144089395.3930578,65511618.44832246,0.12182880434906503,62.44963997346236,370.3624027329139,25.837973582963249,24.810156750433064,7.744000000000034,836.1444415377816,23.64545455658157,23.354428065585578,3.3439999999999969,572.3497001122529,23.552267762386536,23.52996943249326,12.573255356068599,853.2098658574089,23.800546145859067,23.561909351521046,3.3439999999999969,593.4975573828134,23.407691887494857,23.348207532636537,14.490666666666656,1068.3620727179137,23.66037404939903,23.413063789441137,0.24077296354383583,0.21772624995262145,0.18953345470558354,0.24835369761145935,0.0,0.2150446778071435,0.5555555555555556,0.2893090703469659,6482.087418628856,1.6081523863204222,9880.179066554425 
July,24.132846102150525,2.9311155913978479,1.3323252688172043,2.9311155913978479,1.3323252688172043,5.329301075268817,1371427200.0,592207200.0,1371427200.0,592207200.0,2566231200.0,914284800.0,394804800.0,914284800.0,394804800.0,1710820800.0,24192309.948089307,53387807.099827159,0.11014306393863185,11040358.551357817,23397339.071467956,0.10926711547680798,27020428.428085604,57711729.53071945,0.1102327985104122,10970634.030185398,23784173.447205377,0.1092389054455384,43659476.141203287,99689488.02088972,0.10428580817651113,32.12772732997506,470.24224382622449,26.232516444822797,25.569826945708529,8.05306451612907,815.536720960823,24.040143747798319,23.89061066996624,3.4774596774193569,561.4949662237635,23.826188064376827,23.953638001007954,10.757833888942124,894.0431924043677,23.89406986291202,23.927254417886425,3.4774596774193569,582.1581589194929,23.690987403906264,23.879394985211193,15.068991935483844,998.5709415177639,23.996238483503057,23.830954543058085,0.2740701508368415,0.2561722408345059,0.22773185772492864,0.2733532389615557,0.0,0.2749315103211335,0.532258064516129,0.0,9721.2548755766,1.703239354701927,13007.04070648358 
August,21.77617607526883,3.169892473118273,1.4408602150537636,3.169892473118273,1.4408602150537636,5.763440860215054,1468368000.0,634068000.0,1468368000.0,634068000.0,2747628000.0,978912000.0,422712000.0,978912000.0,422712000.0,1831752000.0,43488859.58747536,17340471.479127677,0.10088759565784777,19391204.653933649,7687642.073206939,0.10011106112423766,46840419.56329573,18387970.980315154,0.10106333502646932,18472333.94426567,7847555.365935253,0.10006183154218644,80160706.26016228,33580232.428137067,0.09555015827974066,66.9730368592413,348.1077174699308,25.76713444796456,24.954044341656219,7.696451612903262,855.3977940582345,23.76525997941631,23.58794095427903,3.3234677419354834,560.6938309096236,23.617862274580728,23.64961089998935,14.829906771538232,847.4455186147797,23.8607106073484,23.721271618895867,3.3234677419354834,587.1114029258532,23.490231716770393,23.504849778508718,14.401693548387084,1095.2842606494847,23.79973935766808,23.6492172846953,0.25596054963194456,0.22483658297895962,0.19792112510292354,0.26398949313549549,0.0,0.22667755628080184,0.5591397849462365,0.0,7325.183830490167,1.6487360858833136,10444.424030945569 
September,18.136961805555584,3.0288194444444427,1.3767361111111112,3.0288194444444427,1.3767361111111112,5.506944444444445,1364584320.0,589252320.0,1364584320.0,589252320.0,2553426720.0,909722880.0,392834880.0,909722880.0,392834880.0,1702284480.0,92381407.58546742,6217765.735620841,0.09092295761196788,39911138.20232206,2720368.826317948,0.09022733366640877,94265427.91039644,6210942.91108075,0.09102173797499592,38873897.748384367,2697453.090695092,0.09018377850135302,166436317.2106568,11371886.92221263,0.08612317649968873,138.6425122209708,208.42425978231,24.986284304992127,23.973092138596454,7.793500000000034,787.4721267896664,23.517061655435488,23.216111456911557,3.365374999999997,496.6400961194706,23.406113108940806,23.247646423429026,16.534970251866559,718.877075004518,23.65540084247236,23.324886676927073,3.365374999999997,517.3339957518612,23.200024814432319,23.0878041572723,14.583291666666656,1032.4852592942185,23.58943665075145,23.375994622463897,0.2159476209836474,0.18042577186142468,0.15759411517076456,0.22788328360143174,0.0,0.14417288885326058,0.55,0.6347269246452598,4007.0829921953679,1.4765903378333443,7394.715411408136 
October,10.981686827956987,3.0368279569892437,1.3803763440860216,3.0368279569892437,1.3803763440860216,5.521505376344086,1415335680.0,611167680.0,1415335680.0,611167680.0,2648393280.0,943557120.0,407445120.0,943557120.0,407445120.0,1765595520.0,292524403.9614334,275914.74087481459,0.130395187873704,124538251.012969,224700.52545530615,0.12936751060260094,287258298.59573397,245633.30178694553,0.1302892085330166,122523776.97558116,259316.29190190073,0.12927578130400503,528080399.1128962,1083515.7604485353,0.1235572047091821,352.62618183566266,16.264451203281543,23.010965696204037,21.58274123252935,19.634749215712348,567.5021864197763,22.956710213811588,22.1176478245284,7.0854285890844619,296.66981196194276,22.817327990526665,22.033820663752473,25.292606539787817,501.35233875636399,22.69474716345793,21.92208040442343,11.107048571352057,318.77438997698439,22.5025865612799,21.889962603769747,15.854300049961516,735.395708405137,23.068824747773524,22.342157687784714,0.17030547823956217,0.1257977130561763,0.12171662120100679,0.1721852993036652,0.01502329082763987,0.03209476209165872,0.5376344086021505,127.32576256592205,711.507385881986,0.8821189821946108,3678.182823154683 
November,4.734531249999988,3.1380555555555516,1.426388888888889,3.1380555555555516,1.426388888888889,5.705555555555556,1408492800.0,608212800.0,1408492800.0,608212800.0,2635588800.0,938995200.0,405475200.0,938995200.0,405475200.0,1757059200.0,479617380.3236289,0.0,0.1470910005509793,201513758.84694246,0.0,0.14578750474232544,466371276.63959369,0.0,0.14679935648260634,199668292.37457565,0.0,0.1456958081539872,863514839.1268903,0.0,0.13942779969247569,625.211876449006,2.429080441012209,20.98142822285039,19.284356009691647,135.39256954636373,335.74130913168696,22.422626047095279,21.056842330943817,64.80412535710174,169.16470020009462,21.9637738272635,20.76050288399496,156.44766271394983,351.89299266260766,21.776976101037737,20.647037141623696,66.24494433449985,192.17898115538905,21.74252476675656,20.639318146300956,99.82917827389973,426.6709545762039,22.559882298294949,21.38338839187996,0.14037828695571223,0.12053487782731742,0.12123045339952814,0.13787398166571544,0.08873132597119783,0.0103931489100639,0.5555555555555556,834.5891374488049,550.5997606155921,0.5155372268701125,2151.2568241878768 
December,-3.6815188172043058,2.9311155913978479,1.3323252688172043,2.9311155913978479,1.3323252688172043,5.329301075268817,1371427200.0,592207200.0,1371427200.0,592207200.0,2566231200.0,914284800.0,394804800.0,914284800.0,394804800.0,1710820800.0,608875828.6477085,0.0,0.12270761360384509,255640460.86607344,0.0,0.12155299898468168,593358906.4447329,0.0,0.1222984337450976,255136515.79711993,0.0,0.12152276446110105,1098637023.8904703,0.0,0.1163918199409112,896.5034693019353,0.0,19.24531085104366,17.342927429828547,239.67565235851485,278.01043769727286,22.085462000641564,20.38873513928744,112.24581685658107,127.59564553305802,21.369456287546848,19.932749935023975,293.90195340905839,283.9846047319201,21.12299610327849,19.817201814925445,115.05154130716655,140.75630077902845,21.280649350882304,19.87758589764854,157.9476008433651,300.738743661576,22.25516707500003,20.87231166530298,0.15181027853820376,0.1376125127214951,0.1411360301058151,0.1399194256624495,0.17457462071547528,0.0,0.532258064516129,1516.8078105455214,0.12215319537834146,0.0012910364461562504,5.378511248357254 
